post_code,category_labels,address,name,website,tel,factual_id,longitude,latitude,chain_name,locality,region,country
11795,"Retail, Convenience Stores",174 Higbie Ln,7-Eleven,http://www.7-eleven.com/,(631) 661-9309,45b19ea8-83f4-4f13-b69d-7080e5a71114,-73.307145,40.706046,7-Eleven,West Islip,NY,us
20165,"Retail, Convenience Stores",20955 Davenport Dr,7-Eleven,http://www.7-eleven.com/,(703) 430-1089,5b146d96-468b-4a3d-b604-32eae8711a5c,-77.410676,39.035934,7-Eleven,Sterling,VA,us
19056,"Retail, Convenience Stores",2760 Trenton Rd,7-Eleven,http://www.7-eleven.com/,(215) 946-8017,917a1fb0-7f02-48e4-bc0b-40dc67a2fff4,-74.877463,40.167959,7-Eleven,Levittown,PA,us
19382,"Retail, Convenience Stores",200 S High St,7-Eleven,http://www.7-eleven.com/,(610) 436-4694,7d555e80-1e18-012f-0643-0030487f54d8,-75.60281,39.957784,7-Eleven,West Chester,PA,us
89178,"Retail, Convenience Stores",8180 Blue Diamond Rd,7-Eleven,http://www.7-eleven.com/,(702) 875-4187,0edc0c40-dcfd-4f0a-ad73-60ded43965c4,-115.269798,36.020968,7-Eleven,Las Vegas,NV,us
21211,"Retail, Convenience Stores",211 W 28th St,7-Eleven,http://www.7-eleven.com/,(443) 835-1877,18e57d6b-b92c-40dd-849a-03179a872575,-76.620888,39.321226,7-Eleven,Baltimore,MD,us
94108,"Retail, Convenience Stores",217 Sutter St,7-Eleven,http://www.7-eleven.com/,(415) 362-0590,26d00399-ceca-4b3b-b025-f10514cf3e49,-122.404257,37.789686,7-Eleven,San Francisco,CA,us
7432,"Retail, Convenience Stores",118 Godwin Ave,7-Eleven,http://www.7-eleven.com/,(201) 652-0711,2149e09f-3244-4244-93a8-8287b33e8c92,-74.138686,40.986052,7-Eleven,Midland Park,NJ,us
32905,"Retail, Convenience Stores",1199 Palm Bay Rd,7-Eleven,http://www.7-eleven.com/,(321) 952-4334,dfc6f35d-26ca-4b71-b418-01d421f3679b,-80.638607,28.035871,7-Eleven,Melbourne,FL,us
7110,"Retail, Convenience Stores",38 Passaic Ave,7-Eleven,http://www.7-eleven.com/,(973) 235-9529,ea22210b-9e89-4f9e-a02b-c6fb6d623419,-74.158152,40.80872,7-Eleven,Nutley,NJ,us
20166,"Retail, Convenience Stores",46141 Woodshire Dr,7-Eleven,http://www.7-eleven.com/,(571) 434-6298,089abcd4-3d3b-4ce5-a8c0-9e3d133cf7f6,-77.403724,39.025224,7-Eleven,Sterling,VA,us
8053,"Retail, Convenience Stores",2 E Main St,7-Eleven,http://www.7-eleven.com/,(856) 596-9549,17ea2680-40a5-46ea-bcc7-f8eb0aeb53b2,-74.921838,39.891659,7-Eleven,Marlton,NJ,us
23221,"Retail, Convenience Stores",2910 Patterson Ave,7-Eleven,http://www.7-eleven.com/,(804) 353-4377,806dc35e-0b60-4e11-b042-7812c2c7377a,-77.473918,37.560443,7-Eleven,Richmond,VA,us
11554,"Retail, Convenience Stores",2138 Hempstead Tpke,7-Eleven,http://www.7-eleven.com/,(516) 357-2517,176721b9-7421-464f-9290-c986c7983384,-73.557487,40.724672,7-Eleven,East Meadow,NY,us
80234,"Retail, Convenience Stores",10410 Melody Dr,7-Eleven,http://www.7-eleven.com/,(303) 252-7505,31b0d67f-ee29-4018-b911-d9f8b0dc2b2f,-104.992704,39.8858,7-Eleven,Northglenn,CO,us
11741,"Retail, Convenience Stores",301 Union Ave,7-Eleven,http://www.7-eleven.com/,(631) 588-9392,03a9d25e-7675-4e52-8dc0-b5ca25203558,-73.081077,40.812381,7-Eleven,Holbrook,NY,us
2116,"Retail, Convenience Stores",261 Dartmouth St,7-Eleven,http://www.7-eleven.com/,(617) 262-1212,c1815c11-0c92-4338-9824-48a19537723c,-71.077384,42.350476,7-Eleven,Boston,MA,us
8753,"Retail, Convenience Stores",1741 Hooper Ave,7-Eleven,http://www.7-eleven.com/,(732) 255-8564,44505a63-10d3-4334-a6bd-257f6efac2b9,-74.15016,40.005163,7-Eleven,Toms River,NJ,us
94536,"Retail, Convenience Stores",35015 Fremont Blvd,7-Eleven,http://www.7-eleven.com/,(510) 792-7111,18f84498-d89d-4eab-91a8-211eb06141c5,-122.032358,37.570185,7-Eleven,Fremont,CA,us
23456,"Retail, Convenience Stores",2093 Lynnhaven Pkwy,7-Eleven,http://www.7-eleven.com/,(757) 416-0261,12f8f78b-04c7-40e4-86a7-efddd18e2784,-76.124554,36.789846,7-Eleven,Virginia Beach,VA,us
78701,"Retail, Convenience Stores",408 W 15th St,7-Eleven,http://www.7-eleven.com/,(512) 474-1060,297a78db-b4fb-484d-9bf6-d6da1ab67a85,-97.743672,30.278541,7-Eleven,Austin,TX,us
8057,"Retail, Convenience Stores",1 E Camden Ave,7-Eleven,http://www.7-eleven.com/,(856) 722-0711,2dbe36e4-1d7c-4627-a578-f4d3159313a9,-74.978865,39.95816,7-Eleven,Moorestown,NJ,us
1841,"Retail, Convenience Stores",370 Broadway,7-Eleven,http://www.7-eleven.com/,(978) 686-1633,8415585c-1db4-42ba-bf56-d6cf538c91cc,-71.174278,42.711554,7-Eleven,Lawrence,MA,us
48334,"Retail, Convenience Stores",29318 Orchard Lake Rd,7-Eleven,http://www.7-eleven.com/,(248) 851-6177,79bea077-e252-4bf1-b16c-9ec9a88319b7,-83.358593,42.512851,7-Eleven,Farmington Hills,MI,us
22401,"Retail, Convenience Stores",1613 Dixon St,7-Eleven,http://www.7-eleven.com/,(540) 373-1753,b16e458a-72e8-4d24-b33a-ec74ddfd9271,-77.454401,38.281902,7-Eleven,Fredericksburg,VA,us
97405,"Retail, Convenience Stores",2895 Willamette St,7-Eleven,http://www.7-eleven.com/,(541) 484-0247,443ede75-9d07-4b5a-b16f-74d25ca7557f,-123.090319,44.026453,7-Eleven,Eugene,OR,us
17057,"Retail, Convenience Stores",12 E Main St,7-Eleven,http://www.7-eleven.com/,(717) 944-5639,0349e0ff-f5b7-4ffa-9f70-9f94e56e5a7d,-76.730642,40.19959,7-Eleven,Middletown,PA,us
33026,"Retail, Convenience Stores",12351 Taft St,7-Eleven,http://www.7-eleven.com/,(954) 432-7577,1187528f-0d86-414f-8ec1-8baae1ea0afa,-80.31168,26.02288,7-Eleven,Pembroke Pines,FL,us
23603,"Retail, Convenience Stores",14500 Jefferson Ave,7-Eleven,http://www.7-eleven.com/,(757) 887-0100,20e51e65-6a46-4183-8525-b732810dd2ba,-76.573827,37.208012,7-Eleven,Newport News,VA,us
64114,"Retail, Convenience Stores",8901 Wornall Rd,7-Eleven,http://www.7-eleven.com/,(816) 361-1211,0cf1d39e-88a1-446d-acd4-7544f21a442a,-94.594862,38.966622,7-Eleven,Kansas City,MO,us
33913,"Retail, Convenience Stores",12011 Gateway Blvd,7-Eleven,http://www.7-eleven.com/,(239) 454-0225,12be8a7a-9d61-481d-b240-9ef76ef5b156,-81.748125,26.571102,7-Eleven,Fort Myers,FL,us
